,Year,Month,Carrier,Count,WEATHER_DELAY,Avg
365,2014,08,VX,609,1980.0,3.251231527093596
366,2014,08,WN,5671,7939.0,1.399929465702698
367,2014,08,YV,0,0.0,0.0
368,2014,09,9E,0,0.0,0.0
369,2014,09,AA,1980,1055.0,0.5328282828282829
370,2014,09,AS,655,673.0,1.0274809160305343
371,2014,09,B6,641,545.0,0.8502340093603744
372,2014,09,DL,3702,6711.0,1.812803889789303
373,2014,09,EV,1134,2353.0,2.0749559082892417
374,2014,09,F9,543,341.0,0.6279926335174953
375,2014,09,FL,153,50.0,0.32679738562091504
376,2014,09,MQ,778,1431.0,1.839331619537275
377,2014,09,NK,0,0.0,0.0
378,2014,09,OO,1299,1647.0,1.2678983833718245
379,2014,09,UA,3423,7409.0,2.1644756061933976
380,2014,09,US,2712,4645.0,1.7127581120943953
381,2014,09,VX,557,2167.0,3.89048473967684
382,2014,09,WN,3970,7704.0,1.9405541561712847
383,2014,09,YV,0,0.0,0.0
384,2014,10,9E,0,0.0,0.0
385,2014,10,AA,2655,3052.0,1.1495291902071563
386,2014,10,AS,665,491.0,0.7383458646616541
387,2014,10,B6,876,1575.0,1.797945205479452
388,2014,10,DL,4118,4753.0,1.1542010684798445
389,2014,10,EV,1374,2296.0,1.6710334788937409
390,2014,10,F9,441,19.0,0.04308390022675737
391,2014,10,FL,148,39.0,0.2635135135135135
392,2014,10,MQ,1045,1060.0,1.014354066985646
393,2014,10,NK,0,0.0,0.0
394,2014,10,OO,1645,705.0,0.42857142857142855
395,2014,10,UA,4539,4978.0,1.0967173386208415
396,2014,10,US,3378,3641.0,1.0778567199526348
397,2014,10,VX,590,1651.0,2.798305084745763
398,2014,10,WN,4177,4773.0,1.1426861383768254
399,2014,10,YV,0,0.0,0.0
400,2014,11,9E,0,0.0,0.0
401,2014,11,AA,2149,4059.0,1.8887854816193579
402,2014,11,AS,759,1289.0,1.6982872200263504
403,2014,11,B6,569,1037.0,1.8224956063268893
404,2014,11,DL,3898,7923.0,2.0325808106721395
405,2014,11,EV,776,345.0,0.44458762886597936
406,2014,11,F9,708,190.0,0.268361581920904
407,2014,11,FL,110,0.0,0.0
408,2014,11,MQ,607,2577.0,4.245469522240527
409,2014,11,NK,0,0.0,0.0
410,2014,11,OO,1514,716.0,0.47291941875825627
411,2014,11,UA,3490,8705.0,2.494269340974212
412,2014,11,US,2837,1312.0,0.462460345435319
413,2014,11,VX,634,2552.0,4.025236593059937
414,2014,11,WN,4261,5880.0,1.3799577563952123
415,2014,11,YV,0,0.0,0.0
416,2014,12,9E,0,0.0,0.0
417,2014,12,AA,2860,1583.0,0.5534965034965035
418,2014,12,AS,1065,429.0,0.4028169014084507
419,2014,12,B6,868,543.0,0.6255760368663594
420,2014,12,DL,3279,6254.0,1.9072888075632815
421,2014,12,EV,1017,576.0,0.5663716814159292
422,2014,12,F9,905,257.0,0.2839779005524862
423,2014,12,FL,129,38.0,0.29457364341085274
424,2014,12,MQ,790,1076.0,1.3620253164556961
425,2014,12,NK,0,0.0,0.0
426,2014,12,OO,2136,1120.0,0.5243445692883895
427,2014,12,UA,5038,4767.0,0.9462088130210401
428,2014,12,US,3355,1000.0,0.29806259314456035
429,2014,12,VX,1165,4984.0,4.278111587982832
430,2014,12,WN,7397,10961.0,1.4818169528187104
431,2014,12,YV,0,0.0,0.0
432,2015,01,9E,0,0.0,0.0
433,2015,01,AA,2595,10529.0,4.057418111753372
434,2015,01,AS,762,1532.0,2.010498687664042
435,2015,01,B6,906,2567.0,2.8333333333333335
436,2015,01,DL,3582,16440.0,4.589614740368509
437,2015,01,EV,950,1801.0,1.8957894736842105
438,2015,01,F9,792,391.0,0.4936868686868687
439,2015,01,FL,0,0.0,0.0
440,2015,01,MQ,971,6964.0,7.1719876416065915
441,2015,01,NK,856,117.0,0.1366822429906542
442,2015,01,OO,1603,2542.0,1.585776668746101
443,2015,01,UA,3800,16526.0,4.348947368421053
444,2015,01,US,3195,3684.0,1.1530516431924882
445,2015,01,VX,556,2249.0,4.044964028776978
446,2015,01,WN,4754,5787.0,1.21729070256626
447,2015,01,YV,0,0.0,0.0
448,2015,02,9E,0,0.0,0.0
449,2015,02,AA,2329,14480.0,6.217260626878488
450,2015,02,AS,636,401.0,0.6305031446540881
451,2015,02,B6,1213,5751.0,4.741137675185491
452,2015,02,DL,4971,45751.0,9.203580768457051
453,2015,02,EV,907,2715.0,2.993384785005513
454,2015,02,F9,821,1186.0,1.4445797807551766
455,2015,02,FL,0,0.0,0.0
456,2015,02,MQ,970,5535.0,5.706185567010309
457,2015,02,NK,898,2241.0,2.4955456570155903
458,2015,02,OO,1284,3888.0,3.02803738317757
459,2015,02,UA,3812,17042.0,4.470619097586569
460,2015,02,US,3439,11643.0,3.3855772026751962
461,2015,02,VX,623,2214.0,3.553772070626003
462,2015,02,WN,4123,8370.0,2.030075187969925
463,2015,02,YV,0,0.0,0.0
464,2015,03,9E,0,0.0,0.0
465,2015,03,AA,2716,6799.0,2.5033136966126657
466,2015,03,AS,713,854.0,1.1977559607293127
467,2015,03,B6,1145,1792.0,1.5650655021834061
468,2015,03,DL,4728,23092.0,4.88409475465313
469,2015,03,EV,836,1627.0,1.9461722488038278
470,2015,03,F9,880,640.0,0.7272727272727273
471,2015,03,FL,0,0.0,0.0
472,2015,03,MQ,679,1817.0,2.6759941089837995
473,2015,03,NK,786,1125.0,1.4312977099236641
474,2015,03,OO,1236,1616.0,1.307443365695793
475,2015,03,UA,3739,8709.0,2.329232415084247
476,2015,03,US,3273,6525.0,1.9935838680109992
477,2015,03,VX,731,2529.0,3.4596443228454175
478,2015,03,WN,4597,4753.0,1.033935175114205
479,2015,03,YV,0,0.0,0.0
480,2015,04,9E,0,0.0,0.0
481,2015,04,AA,2443,2325.0,0.9516987310683586
482,2015,04,AS,541,180.0,0.33271719038817005
483,2015,04,B6,917,1303.0,1.420937840785169
484,2015,04,DL,3927,11538.0,2.938120702826585
485,2015,04,EV,570,1010.0,1.7719298245614035
486,2015,04,F9,870,454.0,0.5218390804597701
487,2015,04,FL,0,0.0,0.0
488,2015,04,MQ,499,617.0,1.2364729458917836
489,2015,04,NK,801,1019.0,1.2721598002496879
490,2015,04,OO,1200,1549.0,1.2908333333333333
491,2015,04,UA,3709,7718.0,2.0808843354003774
492,2015,04,US,2950,2148.0,0.7281355932203389
493,2015,04,VX,598,2752.0,4.60200668896321
494,2015,04,WN,4515,5399.0,1.1957918050941307
495,2015,04,YV,0,0.0,0.0
496,2015,05,9E,0,0.0,0.0
497,2015,05,AA,2217,3590.0,1.6193053676138927
498,2015,05,AS,704,255.0,0.3622159090909091
499,2015,05,B6,806,2763.0,3.4280397022332507
500,2015,05,DL,3936,17661.0,4.4870426829268295
501,2015,05,EV,668,1733.0,2.594311377245509
502,2015,05,F9,1047,323.0,0.30850047755491883
503,2015,05,FL,0,0.0,0.0
504,2015,05,MQ,522,2628.0,5.0344827586206895
505,2015,05,NK,1459,1992.0,1.365318711446196
506,2015,05,OO,1309,1667.0,1.2734912146676853
507,2015,05,UA,4866,12365.0,2.541101520756268
508,2015,05,US,2737,2962.0,1.082206795761783
509,2015,05,VX,933,2368.0,2.538049303322615
510,2015,05,WN,5232,13273.0,2.536888379204893
511,2015,05,YV,0,0.0,0.0
512,2015,06,9E,0,0.0,0.0
513,2015,06,AA,2976,7200.0,2.4193548387096775
514,2015,06,AS,636,623.0,0.9795597484276729
515,2015,06,B6,1085,2893.0,2.6663594470046084
516,2015,06,DL,5781,30618.0,5.296315516346652
517,2015,06,EV,711,1538.0,2.1631504922644162
518,2015,06,F9,1225,887.0,0.7240816326530612
519,2015,06,FL,0,0.0,0.0
520,2015,06,MQ,650,1840.0,2.830769230769231
521,2015,06,NK,1726,2275.0,1.3180764774044031
522,2015,06,OO,1506,3069.0,2.037848605577689
523,2015,06,UA,6281,17442.0,2.776946346123229
524,2015,06,US,3863,8760.0,2.2676676158426092
525,2015,06,VX,742,2513.0,3.3867924528301887
